강좌번호,이름,중간고사,기말고사,퀴즈,일반과제,웹과제,출석,합산,학점
101,Stud0001,24.5,11.5,3.7,2.3,5.8,6,53.8,C0
101,Stud0002,32.5,30.5,8,7,8,8,94,A+
101,Stud0003,21.5,8.5,4.8,4.7,7,7,53.5,C0
101,Stud0004,16,28,5.5,7,5.6,8,70.1,B+
101,Stud0005,17.5,16,5.1,4.7,7.8,6,57.1,C+
101,Stud0006,19.5,11.5,6.5,7,6.5,5,56,C+
101,Stud0007,22,23.5,7.5,7,7.4,8,75.4,A0
101,Stud0008,18,14,4.3,7,5.3,8,56.6,C+
101,Stud0009,18.5,0,2.8,4.7,6.6,7,39.6,F
101,Stud0010,16,9,3.8,7,3.9,7,46.7,D+
101,Stud0011,11.5,0,2.2,4.7,4.3,5,27.7,F
101,Stud0012,24.5,21,5.6,7,7.9,8,74,B+
101,Stud0013,22.5,17,6.1,7,7.7,7,67.3,B+
101,Stud0014,27.5,23.5,7.4,7,7.3,8,80.7,A0
101,Stud0015,29.5,25.5,7.7,7,7.9,8,85.6,A0
101,Stud0016,26,22.5,6.6,7,8,8,78.1,A0
101,Stud0017,24,27,7.5,7,8,8,81.5,A0
101,Stud0018,26,13,6.4,4.7,7.7,8,65.8,B0
101,Stud0019,26.5,27,7.2,7,6.8,8,82.5,A0
101,Stud0020,33.5,32,7.4,7,8,8,95.9,A+
101,Stud0021,27,28.5,6.8,7,7.9,7,84.2,A0
101,Stud0022,27.5,31.5,7.6,7,7.3,7,87.9,A+
101,Stud0023,20.5,16,2.1,0,5.7,7,51.3,C0
101,Stud0024,31.5,19.5,5,7,7.8,8,78.8,A0
101,Stud0025,14.5,7.5,3.7,2.3,3.3,6,37.3,F
101,Stud0026,23.5,19,6.9,4.7,6.9,6,67,B0
101,Stud0027,27.5,20,5.8,7,5.9,8,74.2,B+
101,Stud0028,30,28,6.7,7,7,8,86.7,A+
101,Stud0029,12,7.5,2.9,4.7,4.4,8,39.5,F
101,Stud0030,24.5,27,4.2,7,8,8,78.7,A0
101,Stud0031,21.5,26,6.9,7,7.9,8,77.3,A0
101,Stud0032,24,7.5,3.9,4.7,4,8,52.1,C0
101,Stud0033,21.5,24.5,6.1,7,7.6,8,74.7,B+
101,Stud0034,21.5,18.5,3.7,4.7,6,7,61.4,B0
101,Stud0035,22.5,27,0.8,7,6.5,8,71.8,B+
101,Stud0036,21,29.5,1.3,7,7.5,8,74.3,B+
101,Stud0037,18.5,14.5,6.4,7,7.1,8,61.5,B0
101,Stud0038,16.5,10.5,6.7,7,8,8,56.7,C+
101,Stud0039,30.5,24,5.5,7,7.2,8,82.2,A0
101,Stud0040,19,26,6.9,7,6.6,8,73.5,B+
102,Stud0041,29,31.5,6.8,7,8,8,90.3,A+
102,Stud0042,31.5,31.5,6.2,7,6.2,8,90.4,A+
102,Stud0043,0,0,1,0,-1,0,0,F
102,Stud0044,23,15,5.2,7,8,8,66.2,B+
102,Stud0045,19,26.5,5.1,7,8,7,72.6,B+
102,Stud0046,26.5,24,5.9,7,6.7,8,78.1,A0
102,Stud0047,23,15,4.5,5,4.4,4,55.9,B0
102,Stud0048,31.5,16,4.4,1.5,4.6,1,59,B0
102,Stud0049,26.5,14,3.9,2.5,2.8,5,54.7,C0
102,Stud0050,27,24,5.8,7,6.7,6,76.5,A0
102,Stud0051,25,22.5,6.5,7,7.6,8,76.6,A0
102,Stud0052,32,14.5,4.1,7,7.6,8,73.2,B+
102,Stud0053,18.5,18,4.8,7,7.6,6,61.9,B0
102,Stud0054,17.5,28,6.3,7,7.8,8,74.6,B+
102,Stud0055,18.5,10.5,4,3.5,1.8,6,44.3,D+
102,Stud0056,25.5,19,5.4,7,6.3,8,71.2,B+
102,Stud0057,31.5,34.5,5.7,7,8,8,94.7,A+
102,Stud0058,0,0,0,0,0,0,0,F
102,Stud0059,30,23,6.8,7,6.6,6,79.4,A0
102,Stud0060,35,26.5,5.1,7,7.9,6,87.5,A+
102,Stud0061,15.5,12.5,4.6,7,7.8,8,55.4,B0
102,Stud0062,27,30.5,6.2,7,7.6,5,83.3,A+
102,Stud0063,22,23.5,6.2,7,7.5,8,74.2,B+
102,Stud0064,23.5,27.5,6.7,7,8,8,80.7,A0
102,Stud0065,30,23.5,5.6,7,7.5,8,81.6,A0
102,Stud0066,20.5,16.5,3.9,7,4.2,4,56.1,B0
102,Stud0067,35,20,6.1,7,7,8,83.1,A0
102,Stud0068,24,23,6.6,7,7.6,8,76.2,A0
102,Stud0069,25.5,22,6.2,7,8,8,76.7,A0
102,Stud0070,25,17,5.1,7,7.6,8,69.7,B+
102,Stud0071,18,11,3.8,7,4.9,7,51.7,C0
102,Stud0072,18,23.5,4.9,7,6.9,8,68.3,B+
102,Stud0073,27.5,21.5,6.2,7,8,8,78.2,A0
102,Stud0074,35,26.5,6.3,7,7.2,8,90,A+
102,Stud0075,25,18.5,4,6.8,8,8,70.3,B+
102,Stud0076,21.5,28.5,4.9,5.3,7.9,8,76.1,B+
102,Stud0077,30.5,18.5,5.8,6,6.9,7,74.7,B+
102,Stud0078,24.5,17.5,4.1,6.8,6.6,4,63.5,B+
102,Stud0079,17,8.5,3.9,3.5,7.2,8,48.1,C0
102,Stud0080,28.5,19,5.4,6.3,6.7,8,73.9,B+
102,Stud0081,33.5,25,6.4,7,7.6,8,87.5,A+
102,Stud0082,28,20.5,5.9,7,5.5,2,68.9,B+
103,Stud0083,32,5,2.2,2.3,5.8,0.9,48.2,D+
103,Stud0084,14.5,7.5,1.9,6.4,7,8,45.3,D+
103,Stud0085,25.5,22.5,1,1,4.7,5,59.7,B0
103,Stud0086,20.5,9.5,1.7,6.8,7.9,2,48.4,C0
103,Stud0087,25,14,3,5.5,7.4,8,62.9,B+
103,Stud0088,30.5,23.5,4.8,7,7.9,8,81.7,A+
103,Stud0089,15.5,9,2,4.2,6.2,4,40.9,F
103,Stud0090,15,18,1.5,4.8,6.1,8,53.4,C+
103,Stud0091,22.5,17.5,3.2,6.5,7.6,8,65.3,B+
103,Stud0092,19.5,14,1.3,3.5,7.5,5,50.8,C0
103,Stud0093,16,22,1.3,5.8,5.6,8,58.7,B0
103,Stud0094,27.5,11.5,0.8,5.8,6.2,4,55.8,B0
103,Stud0095,22,20,3.5,6.4,7.1,8,67,B+
103,Stud0096,17.5,9,3,6.6,7.1,8,51.2,C0
103,Stud0097,21,23,4.7,6.8,6,8,69.5,B+
103,Stud0098,27,22.5,3.5,6.3,6.2,4,69.5,B+
103,Stud0099,21.5,24.5,3.3,6.6,7.6,8,71.5,A0
103,Stud0100,27,15.5,2.3,6.4,5.8,5,62,B0
103,Stud0101,24,17,4,6.9,5,4,60.9,B0
103,Stud0102,10,0,1.3,1.7,5,1,19,F
103,Stud0103,22.5,0,1.8,5.3,6.7,8,44.3,D+
103,Stud0104,18.5,18.5,3.1,5.2,6.4,5,56.7,B0
103,Stud0105,26,21.5,4.3,7,7.7,8,74.5,A0
103,Stud0106,20,20,3.8,3,8,8,62.8,B+
103,Stud0107,21.5,18,1.3,4.7,7.9,4,57.4,B0
103,Stud0108,25,25.5,2,5.5,7.7,5,70.7,B+
103,Stud0109,24,18,2.9,2.6,3.7,5,56.2,B0
103,Stud0110,16,16,3.2,6.9,6.6,8,56.7,B0
103,Stud0111,26.5,17.5,3.7,6.8,7.9,8,70.4,B+
103,Stud0112,28.5,20.5,3.5,5.1,6.3,8,71.9,A0
103,Stud0113,12.5,4,1.3,5.4,7,8,38.2,F
103,Stud0114,27.5,15.5,1.5,2,1.3,4,51.8,C+
103,Stud0115,20,18,2.2,7,7.7,8,62.9,B+
103,Stud0116,27.5,23,3.3,7,7.5,5.1,73.4,A0
103,Stud0117,9.5,18.5,2,4.3,2.3,8,44.6,D+
103,Stud0118,11,0,2.1,2.1,2.1,0,17.3,F
103,Stud0119,30.5,22.5,4.5,5.9,7.3,8,78.7,A0
103,Stud0120,33.5,25,2.8,7,8,5,81.3,A0
103,Stud0121,28,19.5,3.4,3.3,8,5,67.2,B+
103,Stud0122,17.5,29,3.5,6.4,8,8,72.4,A0
103,Stud0123,0,6.5,1.6,5.8,4.5,5,23.4,F
103,Stud0124,7.5,11.5,0.5,4.8,5.7,8,38,F
103,Stud0125,19.5,7,2.2,4.8,6.8,8,48.3,C0
103,Stud0126,11.5,0,0.8,0,3.1,0,15.4,F
103,Stud0127,30.5,24,3.8,6.9,7.3,8,80.5,A0
103,Stud0128,24.5,22.5,3.9,7,5,8,70.9,B+
103,Stud0129,28,12,1.7,6.4,6.6,5,59.7,B0
103,Stud0130,19,15,1,5.3,7.2,8,55.5,B0
103,Stud0131,14.5,17,2.8,4.4,7.8,8,54.5,C+
103,Stud0132,8.5,12,1.1,2.8,5.5,3,32.9,F
103,Stud0133,27,25,3.5,5.7,7.5,8,76.7,A0
103,Stud0134,17.5,0,0.6,3,7.2,4,32.3,F
103,Stud0135,24.5,22,2.5,5.7,7.7,8,70.4,B+
103,Stud0136,23,21,3.3,6.6,5.5,8,67.4,B+
103,Stud0137,14.5,16.5,0.9,5.9,7.9,8,53.7,C+
103,Stud0138,30,15.5,0.5,4.7,6.4,5,62.1,B0
103,Stud0139,24.5,16.5,1.8,5,6.8,8,62.6,B+
109,Stud0140,7.5,1,2.4,5.3,2.4,7.8,26.4,F
109,Stud0141,9.5,5.5,3.8,1.6,3.3,7.8,31.5,F
109,Stud0142,13.5,9,2.4,3.5,-0.5,5.5,33.4,F
109,Stud0143,17,11,3.4,5.8,5.4,7.6,50.2,C0
109,Stud0144,24,22.5,5.6,6.1,6.3,7.6,72.1,B+
109,Stud0145,15.5,7,3.7,2.9,4.4,7.1,40.6,D+
109,Stud0146,29.5,28,7.4,7,6.8,8,86.7,A+
109,Stud0147,13.5,7.5,3.8,7,4,8,43.8,D+
109,Stud0148,31.5,22,5.4,3.1,4.2,7.6,73.8,A0
109,Stud0149,22.5,27,7,6,7.9,8,78.4,A0
109,Stud0150,20.5,11,5,6.9,7.7,8,59.1,B+
109,Stud0151,15.5,8.5,2.5,3.4,-0.3,8,37.6,D+
109,Stud0152,2,2.5,1.2,5.9,2.3,8,21.9,F
109,Stud0153,21,0,2.9,3.9,3.3,0,31.1,F
109,Stud0154,14,8,5.4,7,5.1,8,47.5,D+
109,Stud0155,24,0,1.3,3.3,2.6,0,31.2,F
109,Stud0156,17,16.5,5.9,6.8,4.8,8,59,C+
109,Stud0157,22.5,19,3.3,4.9,1.7,7.6,59,C+
109,Stud0158,30.5,14,5.7,6.6,5.2,8,70,B+
109,Stud0159,33,19.5,6.9,6,6.4,7.6,79.4,A0
109,Stud0160,17,12,5.8,3.1,6.9,8,52.8,C0
109,Stud0161,8,1,0.6,4.3,0,7.1,21,F
109,Stud0162,27,28,7.5,7,8,8,85.5,A0
109,Stud0163,17,18,6.9,1.5,6,7.4,56.8,C0
211,Stud0164,19.5,13,3.6,0,8,8,52.1,C+
211,Stud0165,31,27.5,6.4,0,7.9,8,80.8,A+
211,Stud0166,19,26,5.5,0,7.7,8,66.2,B+
211,Stud0167,25.5,14,4.6,0,5.5,8,57.6,B0
211,Stud0168,25,21,2.7,0,7.3,8,64,B+
211,Stud0169,23,19.5,5.9,0,6.8,8,63.2,B+
211,Stud0170,19.5,21.5,3.3,0,6,8,58.3,B0
211,Stud0171,16,12.5,3.3,0,2.5,8,42.3,D+
211,Stud0172,21.5,15.5,4.7,0,5.2,8,54.9,B0
211,Stud0173,12,7.5,3.1,0,6.9,8,37.5,F
211,Stud0174,24.5,14.5,4.3,0,7.1,8,58.4,B0
211,Stud0175,25,10.5,2.2,0,7.6,8,53.3,C+
211,Stud0176,26,0,4.4,0,7.1,8,45.5,C0
211,Stud0177,28.5,32,5.4,0,7,8,80.9,A+
211,Stud0178,26,10.5,2.9,0,8,8,55.4,B0
211,Stud0179,33.5,11,4.5,0,7.2,8,64.2,B+
211,Stud0180,33.5,22.5,4.8,0,7.9,8,76.7,A+
211,Stud0181,15.5,16.5,4.6,0,8,8,52.6,C+
211,Stud0182,19.5,21,4.6,0,7.9,8,61,B0
211,Stud0183,29,26,5.3,0,8,8,76.3,A0
211,Stud0184,20,20,6.7,0,8,8,62.7,B+
211,Stud0185,28.5,26.5,4.7,0,8,8,75.7,A0
211,Stud0186,20.5,8.5,3.6,0,7.4,8,48,C0
211,Stud0187,28,17.5,4.7,0,8,8,66.2,B+
211,Stud0188,19,16.5,3.6,0,6.6,8,53.7,B0
211,Stud0189,22,12.5,4.6,0,6.5,8,53.6,C+
211,Stud0190,31,22,6.6,0,7.9,8,75.5,A0
211,Stud0191,18,14.5,3.4,0,5.4,8,49.3,C+
211,Stud0192,20,8.5,3.7,0,7.2,8,47.4,C0
211,Stud0193,14,14.5,3.7,0,6.1,8,46.3,C0
211,Stud0194,31.5,24.5,4.7,0,8,8,76.7,A+
211,Stud0195,32,28,5.1,0,8,8,81.1,A+
211,Stud0196,19,23,4.8,0,8,8,62.8,B+
211,Stud0197,21,22,3.6,0,7.5,8,62.1,B0
211,Stud0198,27.5,20,4.8,0,7.7,8,68,B+
211,Stud0199,20.5,20.5,3.4,0,8,8,60.4,B0
211,Stud0200,23,14.5,3.3,0,4,8,52.8,C+
211,Stud0201,35,27,2.7,0,5.7,8,78.4,A+
211,Stud0202,26,24.5,3.7,0,7.9,8,70.1,A0
211,Stud0203,0,0,1.2,0,0,0,1.2,F
212,Stud0204,31.5,28,7.4,4.8,7.9,8,87.6,A+
212,Stud0205,19,12.5,5.1,2.4,6.8,2,47.8,C0
212,Stud0206,18,20,4.8,4.4,3.3,5,55.5,C+
212,Stud0207,31,25.5,6.8,7,8,8,86.3,A+
212,Stud0208,22.5,28,5.8,3.8,5.9,8,74,A0
212,Stud0209,20.5,20.5,4.6,3.3,3.2,6,58.1,B0
212,Stud0210,25,17.5,4.1,6,8,8,68.6,B+
212,Stud0211,26,23,6.4,7,7.2,8,77.6,A0
212,Stud0212,24.5,20.5,6.2,4.8,7.8,8,71.8,B+
212,Stud0213,30,23.5,7.5,7,7.9,8,83.9,A0
212,Stud0214,33.5,27,6.9,6.1,7.3,8,88.8,A+
212,Stud0215,7.5,1,2.3,0.8,6,0.5,18.1,F
212,Stud0216,27.5,23.5,7,7,7.5,8,80.5,A0
212,Stud0217,29,27,6.7,6.8,7.8,8,85.3,A+
212,Stud0218,33,25,7.1,7,6.3,8,86.4,A+
212,Stud0219,29.5,16.5,7.3,6.7,8,8,76,A0
212,Stud0220,28,25,6.4,7,7.7,8,82.1,A0
212,Stud0221,19.5,21,7.2,6.7,8,8,70.4,B+
212,Stud0222,22.5,15.5,5.6,6.3,7.6,8,65.5,B0
212,Stud0223,31,27,6.9,6.4,7.8,8,87.1,A+
212,Stud0224,24.5,22,5.1,6.8,6.8,8,73.2,A0
212,Stud0225,31,21,6.7,7,8,4.1,77.8,A0
212,Stud0226,33,29.5,6.7,7,7.9,8,92.1,A+
212,Stud0227,31.5,32.5,6.7,7,7.4,8,93.1,A+
212,Stud0228,23,22,6,7,6.9,8,72.9,B+
212,Stud0229,32.5,17,4.8,6.1,6.3,5,71.7,B+
212,Stud0230,25.5,16,5.4,7,6.6,4.3,64.8,B0
212,Stud0231,27.5,29,7,6.9,7.6,8,86,A+
212,Stud0232,15.5,14.5,5.7,3,8,8,54.7,C+
212,Stud0233,21,13,4,3,8,8,57,C+
212,Stud0234,24,28.5,6.4,6.6,7.8,4,77.3,A0
212,Stud0235,30.5,25,5.4,7,8,8,83.9,A0
212,Stud0236,12.5,21.5,5.5,6.8,7.8,8,62.1,B0
212,Stud0237,16.5,11.5,4.3,3.7,7.2,8,51.2,C0
212,Stud0238,24.5,16.5,4.7,7,7.6,5.1,65.4,B0
212,Stud0239,25.5,22.5,5.3,6.7,7.9,8,75.9,A0
212,Stud0240,25.5,26.5,6.1,6.6,7.3,8,80,A0
212,Stud0241,24.5,23.5,4.7,5.4,4.5,5,67.6,B+
212,Stud0242,9.5,6.5,2.8,2.4,2.1,5,28.3,F
212,Stud0243,21,23,5.6,7,7.1,8,71.7,B+
212,Stud0244,34,24.5,6.6,7,7.3,8,87.4,A+
212,Stud0245,17,13.5,4.3,6.1,5,8,53.9,C0
212,Stud0246,25.5,24,6,6.7,7.9,8,78.1,A0
212,Stud0247,35,29,6.5,6.6,7.6,8,92.7,A+
212,Stud0248,19,14,5.9,3.3,7.9,4,54.1,C0
213,Stud0249,21.5,17.5,6.6,6.6,7.3,8,67.5,B0
213,Stud0250,27,15,6.4,6.7,7.4,8,70.5,B+
213,Stud0251,23.5,19,5.4,5.8,8,8,69.7,B0
213,Stud0252,25.5,13,5.9,6.9,8,8,67.3,B0
213,Stud0253,7,12,3.3,3.7,4.1,8,38.1,F
213,Stud0254,18.5,13.5,5.2,6.8,3,8,55,C0
213,Stud0255,12,10.5,5,6.1,4,8,45.6,F
213,Stud0256,29.5,19,5.8,5.5,7.9,8,75.7,B+
213,Stud0257,23.5,16,6.4,7,8,8,68.9,B0
213,Stud0258,23.5,18,5.9,6.9,7.9,8,70.2,B+
213,Stud0259,20,32,7,6.9,7.9,8,81.8,A0
213,Stud0260,20.5,23,6.1,6.9,8,8,72.5,B+
213,Stud0261,11.5,17.5,6.1,6.7,8,8,57.8,C0
213,Stud0262,23,18.5,6.4,6.9,8,8,70.8,B+
213,Stud0263,14,5,6,6.8,7.4,8,47.2,D+
213,Stud0264,19,20,6.9,6.9,8,8,68.8,B0
213,Stud0265,18,8.5,5.3,6,7.5,8,53.3,D+
213,Stud0266,32.5,25.5,6.2,6.7,7.1,8,86,A+
213,Stud0267,12.5,12.5,5,5.4,7.2,8,50.6,D+
213,Stud0268,18.5,12.5,6.4,5.7,6.8,8,57.9,C0
213,Stud0269,11.5,17,6.3,6.8,8,8,57.6,C0
213,Stud0270,8.5,6.5,4.2,5.4,3,8,35.6,F
213,Stud0271,13,17,5.4,6.9,7.4,8,57.7,C0
213,Stud0272,18,22.5,6.3,6.9,8,8,69.7,B+
213,Stud0273,11.5,9.5,4.7,7,7.9,8,48.6,D+
213,Stud0274,17.5,15,5.9,6.9,7.8,8,61.1,B0
213,Stud0275,16.5,16.5,6.6,4.5,7,8,59.1,C0
213,Stud0276,18.5,18,6.1,6.7,7.9,8,65.2,B0
213,Stud0277,25,22.5,6.2,6.8,8,8,76.5,A0
213,Stud0278,13,8,3.9,3.5,-0.2,5.2,33.4,F
213,Stud0279,27,26,6.5,6.7,5.7,8,79.9,A0
213,Stud0280,29,23.5,5,6.9,4.7,8,77.1,A0
213,Stud0281,20,11.5,5.5,6.9,7.3,8,59.2,C+
213,Stud0282,10.5,2.5,3.5,3,0.9,8,28.4,F
213,Stud0283,15,12.5,6.2,4.6,7.8,8,54.1,C0
213,Stud0284,8,17,4.1,2.3,3.2,6.6,41.2,F
213,Stud0285,10.5,9,4.6,6.4,7.3,8,45.8,F
213,Stud0286,22,25.5,6.7,7,5.4,8,74.6,B+
213,Stud0287,15,24,6.1,6.9,7.5,8,67.5,B0
213,Stud0288,20.5,24,5.7,6.6,8,8,72.8,B+
213,Stud0289,24.5,22,6.4,6.9,8,8,75.8,B+
213,Stud0290,2.5,4,1.8,4.8,7,8,28.1,F
213,Stud0291,22.5,19.5,6.4,7,7.9,8,71.3,B+
213,Stud0292,16,12.5,6,6.6,8,8,57.1,C0
213,Stud0293,27,25,6.5,5.7,6.3,8,78.5,A0
213,Stud0294,13.5,17.5,6,6.5,7.7,8,59.2,C+
213,Stud0295,18.5,25.5,6.4,6.9,7.7,8,73,B+
213,Stud0296,8,16,5.3,6.8,6.4,8,50.5,D+
213,Stud0297,10,9,5.3,5.8,6.6,8,44.7,F
213,Stud0298,13.5,8.5,4.4,0.5,2.7,8,37.6,F
213,Stud0299,27,21.5,6.6,7,6.4,8,76.5,A0
213,Stud0300,18.5,8,4.8,4.2,7.1,8,50.6,D+
213,Stud0301,23,15,4,5.7,5.2,8,60.9,C+
218,Stud0302,11.5,8,4.4,4.5,7.4,7.6,43.4,D+
218,Stud0303,4,1,0.8,6,7.1,8,26.9,F
218,Stud0304,20,9.5,4,6,7.9,7.8,55.2,C+
218,Stud0305,7,12,2.6,4,2.7,7.8,36.1,F
218,Stud0306,16,8.5,4.5,4.5,4.9,7.6,46,C0
218,Stud0307,6.5,7,3.3,4.6,4.7,6.8,32.9,F
218,Stud0308,26.5,23,6.7,5.6,5.6,8,75.4,A0
218,Stud0309,20.5,23.5,7.2,7,6.8,8,73,B+
218,Stud0310,20,16,4.6,4.5,7.7,7.6,60.4,C+
218,Stud0311,15,19,4.4,6.4,7.7,8,60.5,C+
218,Stud0312,25.5,5,2.9,2.4,0.4,7.3,43.5,D+
218,Stud0313,26,14,4.4,7,7,8,66.4,B+
218,Stud0314,13.5,11,4.1,5.8,4.9,7.8,47.1,C0
218,Stud0315,35,12.5,4.1,4.3,3.4,7.1,66.4,B0
218,Stud0316,26.5,23,5.6,7,8,7.6,77.7,A0
218,Stud0317,17,17,5.7,6.1,7.3,8,61.1,C+
218,Stud0318,25,20,4.5,4.9,6.1,8,68.5,B+
218,Stud0319,24.5,14.5,4.7,6.8,4.7,7.6,62.8,B0
218,Stud0320,20,20,5.6,6.1,4.5,8,64.2,B0
218,Stud0321,19,9,1.5,4.4,2.3,7.1,43.3,F
218,Stud0322,15.5,12.5,2.8,6.9,3.4,7.6,48.7,C0
218,Stud0323,26.5,26.5,7.4,5.4,5.9,7.8,79.5,A0
218,Stud0324,19.5,14.5,3.3,4.1,5.2,7.6,54.2,C0
218,Stud0325,22,22.5,5.9,5.8,7.4,7.6,71.2,B+
218,Stud0326,7,2.5,1.8,2.9,3.8,7.3,25.3,F
218,Stud0327,20.5,14,4.2,7,7.3,8,61,C+
218,Stud0328,20,15.5,3.6,4.3,5.8,8,57.2,C+
218,Stud0329,14.5,15,2.4,2.5,5.3,8,47.7,C0
218,Stud0330,0,0,0,0,0,0,0,F
219,Stud0331,27.5,15.5,7.1,7,6.5,8,71.6,B+
219,Stud0332,21.5,12,5.8,7,7.7,8,62,C+
219,Stud0333,0,0,0,4.8,0,0,4.8,F
219,Stud0334,7.5,6,3.5,6,1.2,7,31.2,F
219,Stud0335,19.5,12,5,6,5.6,8,56.1,C+
219,Stud0336,30,15,4.9,6.5,5.9,7,69.3,B+
219,Stud0337,17.5,9.5,4,6,6.2,8,51.2,C0
219,Stud0338,27.5,17.5,6.2,5.8,7.7,8,72.7,B+
219,Stud0339,23,10,2.4,5.8,4.9,7,53.1,C0
219,Stud0340,9,3,1.1,6,3.4,6,28.5,F
219,Stud0341,14.5,5,5.4,6.5,3.8,7,42.2,F
219,Stud0342,23.5,24,6.4,7,6.6,8,75.5,B+
219,Stud0343,20,21.5,6.3,7,6.5,7,68.3,B+
219,Stud0344,15.5,14.5,3.5,5.3,2.3,6,47.1,C0
219,Stud0345,22,12,4.9,7,6.2,8,60.1,C+
219,Stud0346,25.5,17.5,6.6,6.8,6.3,8,70.7,B+
219,Stud0347,32,13.5,5.4,7,7.5,7,72.4,B+
219,Stud0348,24,22.5,7.5,6.5,7.8,8,76.3,B+
219,Stud0349,9,0,2.7,4.8,5.5,6,28,F
219,Stud0350,13.5,0,4.3,7,4.6,8,37.4,F
219,Stud0351,27.5,12.5,6.4,6.5,6.9,8,67.8,B0
219,Stud0352,32.5,21,6.2,6.8,7.7,8,82.2,A0
219,Stud0353,11.5,8,1.6,5.8,4,8,38.9,F
219,Stud0354,10,22.5,6.2,7,8,8,61.7,C+
321,Stud0355,21,22,6.8,7,7.6,8,72.4,B+
321,Stud0356,23.5,19,6.3,7,6.6,8,70.4,B+
321,Stud0357,17.5,0,1,0,0,0,18.5,F
321,Stud0358,24,26.5,6.9,6.8,6.7,8,78.9,A0
321,Stud0359,16.5,14,4.2,5.3,3.4,8,51.4,D+
321,Stud0360,29,30,7,7,7.9,8,88.9,A+
321,Stud0361,35,33,7.7,7,7.9,8,98.6,A+
321,Stud0362,28,28,6.6,6.5,7.5,8,84.6,A+
321,Stud0363,9.5,10.5,3.2,6.3,6,7,42.5,F
321,Stud0364,34,17.5,7,6.5,7.1,8,80.1,A0
